pid	devicetype	brand	model	version	fccid	availability	whereavailable	supportedsincecommit	supportedsincerel	supportedcurrentrel	unsupported_functions	target	subtarget	packagearchitecture	bootloader	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	switch	vlan	modem	commentsnetworkports	wlanhardware	wlan24ghz	wlan50ghz	wlancomments	wlandriver	detachableantennas	bluetooth	usbports	sataports	commentsusbsataports	videoports	audioports	phoneports	commentsavports	serial	serialconnectionparameters	jtag	ledcount	buttoncount	gpios	powersupply	devicepage	device_techdata	owrt_forum_topic_url	lede_forum_topic_url	forumsearch	gitsearch	wikideviurl	oemdevicehomepageurl	firmwareoemstockurl	firmwareopenwrtinstallurl	firmwareopenwrtupgradeurl	firmwareopenwrtsnapshotinstallurl	firmwareopenwrtsnapshotupgradeurl	installationmethods	commentinstallation	recoverymethods	commentrecovery	picture	comments
16318	WiFi Router	Buffalo	WHR-HP-G54	NULL	NULL	Discontinued			7.09	10.03.1	NULL	brcm47xx	legacy		CFE	Broadcom BCM5352	1	200	4	16	5	-	¿	Yes	-		Broadcom BCM5352	b/g	-		b43	1	-	-	-		-	-	-		Yes	¿	Yes	¿	¿	-	5 VDC, 1.3 A	toh:buffalo:whr-hp-g54	View/Edit data	NULL	NULL	WHR-HP-G54	WHR-HP-G54	https://wikidevi.wi-cat.ru/Buffalo_WHR-HP-G54			http://downloads.openwrt.org/backfire/10.03.1/brcm-2.4/openwrt-brcm-2.4-squashfs.trx	http://downloads.openwrt.org/backfire/10.03.1/brcm-2.4/openwrt-brcm-2.4-squashfs.trx	NULL	NULL	CFE TFTP recovery		CFE TFTP recovery		media:example:genericrouter1.png	
16319	WiFi Router	Buffalo	WHR-HP-G300N	v1	https://fcc.io/FDI/-09101621-0	Discontinued 2017		https://git.lede-project.org/?p=source.git;a=commit;h=c8b9086ac5ceaf9a42623310ae85fa7be58c8547	12.09	17.01.2	NULL	ar71xx	generic	mips_24kc	¿	Atheros AR7240	1	400	4	32	5	-	Atheros AR7240	Yes	-		Atheros AR9283	b/g/n	-		ath9k	2	-	-	-		-	-	-		¿	¿	¿	¿	¿	-	5 VDC, 2.3 A	toh:buffalo:whr-hp-g300n	View/Edit data	NULL	NULL	WHR-HP-G300N	WHR-HP-G300N	https://wikidevi.wi-cat.ru/Buffalo_WHR-HP-G300N	http://www.buffalo-technology.de/en/products/networking/300mbps-wireless/routers/archive/airstation-nfiniti-wireless-n-300mbps-cable-router/		http://downloads.openwrt-project.org/releases/17.01.2/targets/ar71xx/generic/openwrt-17.01.2-ar71xx-generic-whr-hp-g300n-squashfs-factory.bin	http://downloads.openwrt-project.org/releases/17.01.2/targets/ar71xx/generic/openwrt-17.01.2-ar71xx-generic-whr-hp-g300n-squashfs-sysupgrade.bin	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
16320	WiFi Router	Buffalo	WHR-HP-GN	v1	https://fcc.io/FDI/-09101567-0	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=034b2b7cde661e638184f7a946aacbad311eeee4	12.09	17.01.2	NULL	ar71xx	generic	mips_24kc	¿	Atheros AR7240	1	400	4	32	5	-	Atheros AR7240	Yes	-		Atheros AR9280	b/g/n	-		ath9k	1	¿	-	-		¿	¿	¿		¿	¿	¿	¿	¿	-	5 VDC, 2.0 A	toh:buffalo:whr-hp-g300n	View/Edit data	NULL	NULL	WHR-HP-GN	WHR-HP-GN	https://wikidevi.wi-cat.ru/Buffalo_WHR-HP-GN	http://www.buffalo-technology.com/en/products/networking/150mbps-wireless/routers/archive/airstation-trade-n-technology-150mbps-cable-router/		http://downloads.openwrt-project.org/releases/17.01.2/targets/ar71xx/generic/openwrt-17.01.2-ar71xx-generic-whr-hp-gn-squashfs-factory.bin	http://downloads.openwrt-project.org/releases/17.01.2/targets/ar71xx/generic/openwrt-17.01.2-ar71xx-generic-whr-hp-gn-squashfs-sysupgrade.bin	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
16321	Travel Router	Buffalo	WLAE-AG300N	v1	https://fcc.io/FDI/-09101592-0	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=010aec06194cff6b6619b8ca2155da4750d15bef	12.09	17.01.2	NULL	ar71xx	generic	mips_24kc	¿	Atheros AR7240	1	400	4	32	2	-	Atheros AR7240	Yes	-		Atheros AR9280	b/g/n	a/n		ath9k	-	¿	-	-		¿	¿	¿		¿	¿	¿	2	2	-	100-240 VAC, 50/60 Hz, 0.3 A		View/Edit data	https://forum.openwrt.org/viewtopic.php?id=29260	NULL	WLAE-AG300N	WLAE-AG300N	https://wikidevi.wi-cat.ru/Buffalo_WLAE-AG300N	http://www.buffalo-technology.com/en/products/network-devices/dual-band-n/adapters-converters/archive/wlae-ag300n-airstation-trade-nfiniti-trade-dual-band-wireless-n-ethernet-converter-access-point-and-bridge/		http://downloads.openwrt-project.org/releases/17.01.2/targets/ar71xx/generic/openwrt-17.01.2-ar71xx-generic-wlae-ag300n-squashfs-factory.bin	http://downloads.openwrt-project.org/releases/17.01.2/targets/ar71xx/generic/openwrt-17.01.2-ar71xx-generic-wlae-ag300n-squashfs-sysupgrade.bin	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	Exchangeable mains plugs
16322	WiFi Router	Buffalo	WLI-H4-D1300	NULL	https://fcc.io/FDI/-09101695-0	unknown 2018					Possible to support	brcm47xx	mips74k	mipsel_74kc	CFE	Broadcom BCM4706	1	600	128NAND	128	-	5	¿	¿	-		Broadcom BCM4360	b/g/n	a/n/ac		b43	-	-	1x 2.0	-		-	-	-		¿		¿			-	¿	toh:buffalo:wzr-d1800h	View/Edit data	NULL	NULL	WLI-H4-D1300	WLI-H4-D1300	https://wikidevi.wi-cat.ru/Buffalo_WLI-H4-D1300			NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16323	WiFi Router	Buffalo	WLI-TX4-AG300N	v1	https://fcc.io/FDI/-09102074-0	Discontinued 2017		https://git.lede-project.org/?p=source.git;a=commit;h=723d8dd74fdcb14465acc5ef5956020054ff9642	14.07	19.07.2	unable to save configuration changes.	ramips	rt288x	mipsel_mips32r2	U-Boot	Ralink RT2880	1	384	4	32	4	-	IC+ IP175C	¿	-		Ralink RT2880	b/g/n	a/n	2x3	unknown	-	-	-	-		-	-	-		Yes	57600 / 8N1	¿	¿	¿	-	12 VDC, 1.5 A	toh:buffalo:wli-tx4-ag300n	View/Edit data	NULL	NULL	WLI-TX4-AG300N	WLI-TX4-AG300N	https://wikidevi.wi-cat.ru/Buffalo_WLI-TX4-AG300N	http://www.buffalo-technology.com/en/products/networking/adapters-converters/airstationtm-nfinititm-dual-band/archive/wli-tx4-ag300n-airstation-trade-nfiniti-trade-dual-band-wireless-n-ethernet-converter/	http://www.buffalotech.com/support-and-downloads/download/wlitx4ag300n-v152.zip	NULL	http://downloads.openwrt.org/releases/19.07.2/targets/ramips/rt288x/openwrt-19.07.2-ramips-rt288x-wli-tx4-ag300n-squashfs-sysupgrade.bin	NULL	NULL	U-Boot TFTP + serial recovery		U-Boot TFTP + serial recovery		media:example:genericrouter1.png	Images are currently broken! See https://dev.openwrt.org/ticket/22318; Image build disabled in master with commit d7d46da938e3
16324	WiFi Router	Buffalo	WLI-TX4-G54HP	NULL	NULL	Discontinued			10.03.1	10.03.1	NULL	brcm47xx	legacy		¿	Broadcom BCM5352	1	200	4	16	4	-	¿	Yes	-		Broadcom BCM5352	b/g	-		b43	1	¿	-	-		¿	¿	¿		¿	¿	¿	¿	¿	¿	¿	toh:buffalo:wli-tx4-g54hp	View/Edit data	NULL	NULL	WLI-TX4-G54HP	WLI-TX4-G54HP	NULL	http://www.buffalotech.com/products/wireless/wireless-g-mimo-performance/wireless-g-mimo-performance-ethernet-converter		http://downloads.openwrt.org/backfire/10.03.1/brcm-2.4/openwrt-brcm-2.4-squashfs.trx	http://downloads.openwrt.org/backfire/10.03.1/brcm-2.4/openwrt-brcm-2.4-squashfs.trx	NULL	NULL	TFTP generic		TFTP generic		media:example:genericrouter1.png	
16325	Travel Router	Buffalo	WMR-300	NULL	https://fcc.io/FDI/000000012	Discontinued 2016		https://git.lede-project.org/?p=source.git;a=commit;h=e4b6dcee5e7c67a11a417c04790ac22bb287aa58	14.07	19.07.5	NULL	ramips	mt7620	mipsel_24kc	U-Boot	MediaTek MT7620N	1	580	8	64	1	-	-	No	-		MediaTek MT7620N	b/g/n	-	2x2	mt76	-	-	-	-		-	-	-		Yes	57600 / 8N1	No	2	2	-	5 VDC, 0.5 A, USB Male A	toh:buffalo:wmr-300	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=54395	NULL	WMR-300	WMR-300	https://wikidevi.wi-cat.ru/Buffalo_WMR-300	http://www.buffalotech.com/products/wireless/single-band-routers/airstation-n300-wireless-travel-router	http://www.buffalotech.com/support-and-downloads/download/wmr300-200.zip	NULL	http://downloads.openwrt.org/releases/19.07.5/targets/ramips/mt7620/openwrt-19.07.5-ramips-mt7620-wmr-300-squashfs-sysupgrade.bin	NULL	http://downloads.openwrt.org/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-buffalo_wmr-300-squashfs-sysupgrade.bin	U-Boot TFTP recovery		U-Boot TFTP recovery		media:example:genericrouter1.png	
16326	WiFi Router	Buffalo	WSR-600DHP	NULL	https://fcc.io/FDI/000000029	unknown 2018	¿	https://git.lede-project.org/?p=source.git;a=commit;h=0371dabc1347fd902b1a62b050dbe56064d23567	15.05	19.07.5	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621S	1	880	16	64	-	5	MediaTek MT7621S	¿	-		Ralink RT5592EP	b/g/n	a/n		mt76	-	¿	-	-		¿	¿	¿		¿	¿	¿	4	4	¿	12 VDC, 1.5 A	toh:buffalo:wsr-600dhp	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=62414	NULL	WSR-600DHP	WSR-600DHP	https://wikidevi.wi-cat.ru/Buffalo_AirStation_WSR-600DHP			NULL	http://downloads.openwrt.org/releases/19.07.5/targets/ramips/mt7621/openwrt-19.07.5-ramips-mt7621-wsr-600-squashfs-sysupgrade.bin	NULL	http://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-buffalo_wsr-600dhp-squashfs-sysupgrade.bin	unknown		unknown		media:example:genericrouter1.png	
16327	WiFi Router	Buffalo	WSR-1166DHP	NULL	https://fcc.io/FDI/000000028	unknown 2018	¿	https://git.lede-project.org/?p=source.git;a=commit;h=0371dabc1347fd902b1a62b050dbe56064d23567	15.05	19.07.5	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621A	2	880	16	128	-	5	MediaTek MT7621A	Yes	-		MediaTek MT7612E	b/g/n	a/n/ac		mt76	-	-	-	-		NULL	NULL	NULL		Yes	57600 / 8N1	Yes	4	4	¿	12 VDC, 1.5 A	toh:buffalo:wsr-1166dhp	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=62413	NULL	WSR-1166DHP	WSR-1166DHP	https://wikidevi.wi-cat.ru/Buffalo_AirStation_WSR-1166DHP			http://downloads.openwrt.org/releases/19.07.5/targets/ramips/mt7621/openwrt-19.07.5-ramips-mt7621-wsr-1166-initramfs-kernel.bin	http://downloads.openwrt.org/releases/19.07.5/targets/ramips/mt7621/openwrt-19.07.5-ramips-mt7621-wsr-1166-squashfs-sysupgrade.bin	http://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-buffalo_wsr-1166dhp-initramfs-kernel.bin	http://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-buffalo_wsr-1166dhp-squashfs-sysupgrade.bin	see forum		NULL		media:example:genericrouter1.png	
16328	WiFi Router	Buffalo	WZR-300HP	NULL	https://fcc.io/FDI/-09101896-0	Discontinued 2016			12.09	12.09	NULL	ar71xx	generic	mips_24kc	U-Boot	Atheros AR7242	1	400	32	64	-	5	Atheros AR8316	Yes	-		Atheros AR9283	b/g/n	-		unknown	2	-	1x 2.0	-		-	-	-		Yes	¿	¿	¿	¿	-	12 VDC, 1.5 A	toh:buffalo:wzr-300hp	View/Edit data	NULL	NULL	WZR-300HP	WZR-300HP	https://wikidevi.wi-cat.ru/Buffalo_WZR-300HP		http://www.buffalotech.com/products/airstation-highpower-n300-gigabit-dd-wrt-wrieless-router	NULL	NULL	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
16329	WiFi Router	Buffalo	WZR-450HP2	NULL	NULL	unknown 2018	¿	https://git.lede-project.org/?p=source.git;a=commit;h=a1837135e04b511a6204937c8ed00ba637cc6f0f	15.05	19.07.5	NULL	ar71xx	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9558	1	720	16	128	-	5	Atheros AR8327	Yes	¿		Qualcomm Atheros QCA9558	b/g/n	-		ath10k	¿	¿	¿	¿		¿	¿	¿		Yes	¿	Yes	5	2	¿	12 VDC, 1.0 A	toh:buffalo:wzr-450hp2	View/Edit data	NULL	NULL	WZR-450HP2	WZR-450HP2	https://wikidevi.wi-cat.ru/Buffalo_WZR-450HP2D			http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-wzr-450hp2-squashfs-factory.bin	http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-wzr-450hp2-squashfs-sysupgrade.bin	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
16330	WiFi Router	Buffalo	WZR-600DHP	NULL	https://fcc.io/FDI/-09101889-0	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=107e0c6d1f37fa474b8cc667d5a2e8d0c47eafea	14.07		NULL	ar71xx-ath79	generic	mips_24kc	U-Boot	Atheros AR7161	1	680	32	128	-	5	Atheros AR8316	Yes	-		Atheros AR9280 Rev 2	b/g/n	a/n		ath9k	-	¿	1x 2.0	-		¿	¿	¿		Yes	¿	Yes	¿	¿	¿	12 VDC, 2.0 A	toh:buffalo:wzr-600dhp	View/Edit data	NULL	NULL	WZR-600DHP	WZR-600DHP	https://wikidevi.wi-cat.ru/Buffalo_WZR-600DHP			http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-wzr-600dhp-squashfs-factory.bin	http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-wzr-600dhp-squashfs-sysupgrade.bin	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-buffalo_wzr-600dhp-squashfs-factory.bin	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-buffalo_wzr-600dhp-squashfs-sysupgrade.bin	U-Boot TFTP recovery		U-Boot TFTP recovery		media:example:genericrouter1.png	CAUTION: Problems with clients of the router connecting to each other have been reported with LEDE 17.01.4 https://forum.lede-project.org/t/clients-in-same-wlan-cant-reach-each-other/2501 . Older releases such as Chaos Calmer do not have this issue.
16331	WiFi Router	Buffalo	WZR-600DHP2	NULL	https://fcc.io/FDI/000000013	Discontinued 2016		https://git.lede-project.org/?p=source.git;a=commit;h=579b0d9c5b3f0950fe69b92310af187cb8a6cd0b	15.05.1		WiFi 2.4GHz partly	bcm53xx	generic	arm_cortex-a9	CFE	Broadcom BCM47081	1	800	128	256	-	5	Broadcom BCM53011	Yes	-		Broadcom BCM43228	b/g/n	a/n/ac		b43	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	Yes	¿	¿	-	12 VDC, 3.0 A	toh:buffalo:wzr-600dhp2	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=57496	NULL	WZR-600DHP2	WZR-600DHP2	https://wikidevi.wi-cat.ru/Buffalo_WZR-600DHP2			http://downloads.openwrt.org/releases/19.07.5/targets/bcm53xx/generic/openwrt-19.07.5-bcm53xx-buffalo-wzr-600dhp2-squashfs.trx	http://downloads.openwrt.org/releases/19.07.5/targets/bcm53xx/generic/openwrt-19.07.5-bcm53xx-buffalo-wzr-600dhp2-squashfs.trx	http://downloads.openwrt.org/snapshots/targets/bcm53xx/generic/openwrt-bcm53xx-generic-buffalo-wzr-600dhp2-squashfs.trx	http://downloads.openwrt.org/snapshots/targets/bcm53xx/generic/openwrt-bcm53xx-generic-buffalo-wzr-600dhp2-squashfs.trx	see forum		CFE TFTP recovery		media:example:genericrouter1.png	WZR-600DHP2D is same hardware, but preloaded with Buffalo DD-WRT firmware.
16332	WiFi Router	Buffalo	WZR-1750DHP(D)	NULL	https://fcc.io/FDI/000000009	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=9473673ae33c0d856124ffcb10fefefdc61c82e7	15.05		WiFi 5GHz	bcm53xx	generic	arm_cortex-a9	CFE	Broadcom BCM4708A0	2	800	128NAND	512	-	5	Broadcom BCM4708A0	Yes	-		Broadcom BCM4360	b/g/n	a/n/ac	3x3	b43	-	-	1x 3.0	-		-	-	-		Yes	115200 / 8N1	Yes	¿	¿	-	12 VDC, 4.0 A	toh:buffalo:wzr-1750dhp	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=52016	NULL	WZR-1750DHP(D)	WZR-1750DHP(D)	https://wikidevi.wi-cat.ru/Buffalo_WZR-1750DHP	http://buffalo.jp/product/wireless-lan/ap/wzr-1750dhp/		http://downloads.openwrt.org/releases/19.07.5/targets/bcm53xx/generic/openwrt-19.07.5-bcm53xx-buffalo-wzr-1750dhp-squashfs.trx	http://downloads.openwrt.org/releases/19.07.5/targets/bcm53xx/generic/openwrt-19.07.5-bcm53xx-buffalo-wzr-1750dhp-squashfs.trx	http://downloads.openwrt.org/snapshots/targets/bcm53xx/generic/openwrt-bcm53xx-generic-buffalo-wzr-1750dhp-squashfs.trx	http://downloads.openwrt.org/snapshots/targets/bcm53xx/generic/openwrt-bcm53xx-generic-buffalo-wzr-1750dhp-squashfs.trx	U-Boot TFTP recovery		U-Boot TFTP recovery		media:example:genericrouter1.png	
16333	WiFi Router	Buffalo	WZR-AG300NH	NULL	NULL	unknown 2018					WIP	orion			U-Boot	Marvell 88F5181	1	500	8	32	-	5	Marvell 88E6131	No	-		Marvell 88W8363	b/g/n	a/n		mwlwifi	-	¿	-	-		NULL	NULL	NULL		Yes	¿	¿			¿	12 VDC, 1.3 A	toh:buffalo:wzr-ag300nh	View/Edit data	NULL	NULL	WZR-AG300NH	WZR-AG300NH	https://wikidevi.wi-cat.ru/Buffalo_WZR-AG300NH	http://www.buffalotech.com/products/wireless/single-band-routers/wireless-n-nfiniti-dual-band-gigabit-router-access-point		NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16334	WiFi Router	Buffalo	WZR-AGL300NH	V01	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=6351d88e29a6e0ffc96d11d33d22eafdbfd1a41b	15.05.1	19.07.2	NULL	ramips	rt288x	mipsel_mips32r2	U-Boot	Ralink RT2880F	1	266	4	32	-	5	¿	No	-		Ralink RT2880F	b/g/n	-		rt2800pci	-	-	-	-		-	-	-		¿		¿	¿	¿	-	¿		View/Edit data	NULL	NULL	WZR-AGL300NH	WZR-AGL300NH	NULL			NULL	http://downloads.openwrt.org/releases/19.07.2/targets/ramips/rt288x/openwrt-19.07.2-ramips-rt288x-wzr-agl300nh-squashfs-sysupgrade.bin	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	Image build disabled in master with commit d7d46da938e3
16335	WiFi Router	Buffalo	WZR-D1800H	NULL	NULL	Discontinued					Possible to support	brcm47xx	mips74k	mipsel_74kc	CFE	Broadcom BCM4706	1	600	128NAND	128	-	5	¿	¿	-		Broadcom BCM4360	b/g/n	a/n/ac		b43	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	¿			-	12 VDC, 3.0 A	toh:buffalo:wzr-d1800h	View/Edit data	NULL	NULL	WZR-D1800H	WZR-D1800H	https://wikidevi.wi-cat.ru/Buffalo_WZR-D1800H	http://www.buffalo-technology.com/en/products/networking/dual-band-11ac/routers/archive/wzr-d1800h-buffalo-airstation-1750-31/		NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16337	WiFi Router	Buffalo	WZR-HP-G300NH2	C1A0	https://fcc.io/FDI/-09101896-0	Discontinued 2016		https://git.lede-project.org/?p=source.git;a=commit;h=0cc056cb7eb02798531f532e0a2c9cf5f28a6a49	12.09	19.07.5	NULL	ar71xx	generic	mips_24kc	U-Boot	Atheros AR7242	1	400	32	64	-	5	ag71xx-mdio.0	Yes	-		Atheros AR9280 Rev 2	b/g/n	-	2x2	ath9k	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	¿	5	4	-	12 VDC, 1.5 A	toh:buffalo:wzr-hp-g300nh2	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=24052	NULL	WZR-HP-G300NH2	WZR-HP-G300NH2	https://wikidevi.wi-cat.ru/Buffalo_WZR-HP-G300NH2	http://www.buffalo-technology.com/en/products/network-devices/300mbps-wireless-n/routers/archive/airstation-trade-nfiniti-trade-wireless-n-high-power-router/	http://www.buffalo-technology.com/download_validate.php?uid=77879	http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-wzr-hp-g300nh2-squashfs-factory.bin	http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-wzr-hp-g300nh2-squashfs-sysupgrade.bin	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
16338	WiFi Router	Buffalo	WZR-HP-G300NH	v1	https://fcc.io/FDI/-09101560-0	Discontinued 2016		https://git.lede-project.org/?p=source.git;a=commit;h=001ebd8d90028c583b1e3b2ef40e3a168c6e7b6a	10.03.1	19.07.5	NULL	ar71xx	generic	mips_24kc	U-Boot	Atheros AR9132 rev 2	1	400	32	64	-	5	Realtek RTL8366SR	Yes	-		Atheros AR9103	b/g/n	-		ath9k	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	¿	¿	¿	-	12 VDC, 2.0 A	toh:buffalo:wzr-hp-g300h	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=24052	NULL	WZR-HP-G300NH	WZR-HP-G300NH	https://wikidevi.wi-cat.ru/Buffalo_WZR-HP-G300NH			http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-wzr-hp-g300nh-squashfs-factory.bin	http://downloads.openwrt.org/releases/19.07.5/targets/ar71xx/generic/openwrt-19.07.5-ar71xx-generic-wzr-hp-g300nh-squashfs-sysupgrade.bin	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
16339	WiFi Router	Buffalo	WZR-HP-G301NH	v1	NULL	Discontinued					NULL	ar71xx	generic	mips_24kc	¿	Atheros AR9132	1	400	32	64	-	5	¿	¿	-		Atheros AR9103	b/g/n	-		ath9k	-	-	1x 2.0	-		-	-	-		Yes	¿	¿			-	¿	toh:buffalo:wzr-hp-g301h	View/Edit data	NULL	NULL	WZR-HP-G301NH	WZR-HP-G301NH	NULL	http://buffalo.jp/products/catalog/network/wzr-hp-g301nh/	http://buffalo.jp/download/driver/lan/wzr-hp-g301nh.html	NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16340	WiFi Router	Buffalo	WZR-HP-G450H	v1	https://fcc.io/FDI/-09101912-0	Discontinued 2016		https://git.lede-project.org/?p=source.git;a=commit;h=1f809532dede86733e24007e562181f428f55e23	12.09	19.07.5	NULL	ar71xx-ath79	generic	mips_24kc	U-Boot	Atheros AR7242	1	400	32	64	-	5	Atheros AR8316	Yes	-		Atheros AR9300 Rev 3	b/g/n	-		ath9k	3	¿	1x 2.0	-		¿	¿	¿		Yes	¿	¿	¿	¿	¿	12 VDC, 1.5 A	toh:buffalo:wzr-hp-g450h	View/Edit data	NULL	NULL	WZR-HP-G450H	WZR-HP-G450H	https://wikidevi.wi-cat.ru/Buffalo_WZR-HP-G450H			http://downloads.openwrt.org/releases/19.07.5/targets/ath79/generic/openwrt-19.07.5-ath79-generic-buffalo_wzr-hp-g450h-squashfs-factory.bin	http://downloads.openwrt.org/releases/19.07.5/targets/ath79/generic/openwrt-19.07.5-ath79-generic-buffalo_wzr-hp-g450h-squashfs-sysupgrade.bin	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-buffalo_wzr-hp-g450h-squashfs-factory.bin	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-buffalo_wzr-hp-g450h-squashfs-sysupgrade.bin	U-Boot TFTP recovery		U-Boot TFTP recovery		media:example:genericrouter1.png	
16341	Router	Buffalo	WZR-RS-G54	NULL	NULL	Discontinued					NULL	brcm47xx	legacy	mipsel_mips32	¿	Broadcom BCM4704KPBG	1	333	8	64	¿	¿	¿	¿	-	4	-	-	-		unknown	-	-	-	-		-	-	-		¿		¿			-	¿		View/Edit data	NULL	NULL	WZR-RS-G54	WZR-RS-G54	NULL	http://buffalo.jp/products/catalog/item/w/wzr-rs-g54/	http://buffalo.jp/download/driver/lan/wzr-rs-g54.html	NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16344	Modem	Cisco	EPC3208G	NULL	NULL	Discontinued					Possible to support	brcm63xx			¿	Broadcom BCM3382	1	¿	16	32	-	1	¿	¿	DOCSIS		-	-	-		unknown	-	¿	-	-		NULL	NULL	NULL		¿		¿			¿	¿	toh:cisco:epc3208g	View/Edit data	NULL	NULL	EPC3208G	EPC3208G	NULL			NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16345	WiFi Router	Cisco	EPC3825	NULL	NULL	Discontinued 2014					Possible to support	brcm63xx			¿	Broadcom BCM3380	1	333	8	64	-	4	¿	¿	DOCSIS		Broadcom BCM43225 (mini-PCIe)	b/g/n	-		brcmsmac	-	¿	1x 2.0	-		NULL	NULL	NULL		Yes	¿	¿			¿	¿	toh:cisco:epc3825	View/Edit data	NULL	NULL	EPC3825	EPC3825	NULL			NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16346	WiFi Router	Cisco	EPC3925	NULL	NULL	Discontinued 2014					Possible to support	brcm63xx			¿	Broadcom BCM3380	1	333	16	64	-	4	¿	¿	DOCSIS		Broadcom BCM43225 (mini-PCIe)	b/g/n	-		brcmsmac	-	¿	2x 2.0	-		NULL	NULL	NULL		Yes	¿	¿	¿	¿	¿	¿	toh:cisco:epc3925	View/Edit data	NULL	NULL	EPC3925	EPC3925	NULL			NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16347	Router	Cisco	ON100-K9	V01	NULL	Discontinued 2016		https://git.lede-project.org/?p=source.git;a=commit;h=ca27b3d370353ff57719718a1964c6b4f10b11a4	18.06.0	19.07.5	NULL	kirkwood	generic	arm_xscale	U-Boot	Marvell 88F6282	1	1600	512NAND	512	-	2	¿	Yes	-		-	-	-		none	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	Yes	2	1	-	5 VDC, 3.0 A	toh:cisco:cisco_on-100_k9_v01	View/Edit data	NULL	NULL	ON100	ON100	https://wikidevi.wi-cat.ru/Cisco_ON100			http://downloads.openwrt.org/releases/19.07.5/targets/kirkwood/generic/openwrt-19.07.5-kirkwood-cisco_on100-squashfs-factory.bin	http://downloads.openwrt.org/releases/19.07.5/targets/kirkwood/generic/openwrt-19.07.5-kirkwood-cisco_on100-squashfs-sysupgrade.bin	http://downloads.openwrt.org/snapshots/targets/kirkwood/generic/openwrt-kirkwood-cisco_on100-squashfs-factory.bin	http://downloads.openwrt.org/snapshots/targets/kirkwood/generic/openwrt-kirkwood-cisco_on100-squashfs-sysupgrade.bin	see git-commit		NULL		media:cisco:on100_casing.jpg	
